nombre,muni_id,cod_dane,id_sede,jornada
INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN,5001,105001000621,178101,M
SEC ESC CONTRANAL,5001,105001024073,178113,M
INST EDUC ALVARO MARIN VELASCO,5001,105001001368,178119,M
INST EDUC ALVARO MARIN VELASCO,5001,105001001368,178122,T
INST EDUC JOSE CELESTINO MUTIS,5001,105001001651,178125,M
INST EDUC JOSE CELESTINO MUTIS,5001,105001001651,178128,T
INST EDUC FEDERICO OZANAM,5001,105001002011,178131,M
INST EDUC FEDERICO OZANAM,5001,105001002011,178134,T
INST EDUC REPUBLICA DE URUGUAY,5001,105001005495,178137,M
INST EDUC REPUBLICA DE URUGUAY,5001,105001005495,178140,T
INST EDUC SAN LORENZO DE ABURRA,5001,105001009652,178143,T
SEC ESC SAN LORENZO DE ABURRA,5001,105001009652,178146,M
SEC ESC SAN LORENZO DE ABURRA,5001,105001009652,178149,T
INST EDUC JOSE ASUNCION SILVA,5001,105001011061,178152,M
SEC ESC LEON DE GREIFF,5001,105001011363,178158,M
SEC ESC LEON DE GREIFF,5001,105001011363,178161,T
INST EDUC DOCE DE OCTUBRE,5001,105001011363,178164,M
INST EDUC FELIX DE BEDOUT MORENO,5001,105001013439,178167,M
INST EDUC FELIX DE BEDOUT MORENO,5001,105001013439,178170,T
INST EDUC VILLA TURBAY,5001,105001015229,178173,M
INST EDUC VILLA TURBAY,5001,105001015229,178176,T
,5034,105034001061,178188,
COLEGIO JOSE MANUEL RESTREPO,5051,105051000508,178191,M
COLEGIO JOSE MANUEL RESTREPO,5051,105051000508,178194,T
E.R. SAN ISIDRO,5051,105051000508,178197,T
I. E. MANUEL JOSE CAICEDO,5079,105079000015,178200,M
I. E. MANUEL JOSE CAICEDO,5079,105079000015,178203,T
,5091,105091000012,178212,
E U BLANCA CORREA,5093,105093000109,178215,C
LICEO SAN JOSE,5093,105093000109,178218,C
LICEO SAN JOSE DEL CITARA,5101,105101000571,178221,M
LICEO SAN JOSE DEL CITARA,5101,105101000571,178224,T
COLEGIO FRANCISCO LUIS LEMA,5101,105101000571,178227,M
,5107,105107000166,178230,
I. E. MARIA AUXILIADORA,5129,105129000208,178233,M
I. E. MARIA AUXILIADORA,5129,105129000208,178236,T
,5134,105134000046,178254,
I. E. LUIS CARLOS GALAN SARMIENTO,5147,105147000045,178257,M
I. E. LUIS CARLOS GALAN SARMIENTO,5147,105147000045,178260,T
,5150,105150000099,178263,
E R EL DIVINO NI?O,5212,105212000538,178281,M
E R SABANETA,5212,105212000538,178284,M
E R QUEBRADA ARRIBA,5212,105212000538,178287,M
COLEGIO GABRIELA MISTRAL,5212,105212000538,178290,M
