nombre,muni_id,cod_dane,id_sede,jornada
INST EDUC ESCUELA NORMAL SUPERIOR DE,5001,105001000621,178101,
INST EDUC ALFREDO COCK ARANGO,5001,105001000795,178104,T
SEC ESC ELISA ARANGO DE COCK,5001,105001000795,178107,M
SEC ESC CONTRANAL,5001,105001024073,178113,M
INST EDUC JOSE CELESTINO MUTIS,5001,105001001651,178125,M
INST EDUC JOSE CELESTINO MUTIS,5001,105001001651,178128,T
INST EDUC FEDERICO OZANAM,5001,105001002011,178131,M
INST EDUC FEDERICO OZANAM,5001,105001002011,178134,T
INST EDUC REPUBLICA DE URUGUAY,5001,105001005495,178137,M
INST EDUC REPUBLICA DE URUGUAY,5001,105001005495,178140,T
INST EDUC JOSE ASUNCION SILVA,5001,105001011061,178152,M
INST EDUC JOSE ASUNCION SILVA,5001,105001011061,178155,T
SEC ESC LEON DE GREIFF,5001,105001011363,178158,M
SEC ESC LEON DE GREIFF,5001,105001011363,178161,T
INST EDUC DOCE DE OCTUBRE,5001,105001011363,178164,M
INST EDUC FELIX DE BEDOUT MORENO,5001,105001013439,178167,M
INST EDUC FELIX DE BEDOUT MORENO,5001,105001013439,178170,T
INST EDUC VILLA TURBAY,5001,105001015229,178173,M
INST EDUC VILLA TURBAY,5001,105001015229,178176,T
INST EDUC PEDREGAL,5001,105001019194,178179,T
SEC ESC RAFAEL J. MEJIA,5001,105001019194,178182,M
SEC ESC RAFAEL J. MEJIA,5001,105001019194,178185,T
C. E. R. LUIS ESPINOSA RUIZ,5034,105034001061,178188,C
I. E. MANUEL JOSE CAICEDO,5079,105079000015,178200,M
I. E. MANUEL JOSE CAICEDO,5079,105079000015,178203,T
I. E.  LUIS EDUARDO ARIAS REINEL,5079,105079000082,178206,M
I. E.  LUIS EDUARDO ARIAS REINEL,5079,105079000082,178209,T
I. E. PERLA DEL CITARA,5091,105091000012,178212,C
LICEO SAN JOSE DEL CITARA,5101,105101000571,178224,T
COLEGIO FRANCISCO LUIS LEMA,5101,105101000571,178227,M
I. E. ANTONIO ROLDAN BETANCUR,5107,105107000166,178230,C
I. E. MARIA AUXILIADORA,5129,105129000208,178233,M
I. E. MARIA AUXILIADORA,5129,105129000208,178236,T
I. E.  NUESTRA SEÃORA DEL ROSARIO,5134,105134000046,178254,C
I. E. LUIS CARLOS GALAN SARMIENTO,5147,105147000045,178257,M
I. E. LUIS CARLOS GALAN SARMIENTO,5147,105147000045,178260,T
I. E. PBRO JULIO TAMAYO,5150,105150000099,178263,C
I. E. MARIA AUXILIADORA,5172,105172000220,178275,M
I. E. MARIA AUXILIADORA,5172,105172000220,178278,T
E U I PORTUGAL,5250,105250000169,178296,T
LICEO EL BAGRE,5250,105250000169,178299,M
LICEO EL BAGRE,5250,105250000169,178302,T
I. E.  MANUEL ANTONIO TORO,5284,105284000214,178305,M
I. E.  MANUEL ANTONIO TORO,5284,105284000214,178308,T
ESCUELA NORMAL SUPERIOR MIGUEL ANGEL,5284,105284000800,178311,C
E R JOSE MARIA  RODRIGUEZ ROJAS,5284,105284000800,178314,C
E U PONTON,5284,105284000800,178317,C
E R NORE,5284,105284000800,178320,C
I. E. COLOMBIA,5308,105308000083,178323,M
I. E. COLOMBIA,5308,105308000083,178326,T
I. E.  LUIS LOPEZ DE MESA,5315,105315000021,178329,C
ESC SUTA ARRIBA,15804,115804000021,178338,C
ESC EL BATÃN,15804,115804000021,178341,C
ESC RUCHE,15804,115804000021,178344,C
ESC SAN JOSÃ,15804,115804000021,178347,C
ESC JUANA RUIZ,15804,115804000021,178350,C
ESC BAYETA,15804,115804000021,178353,C
ESC ZANJA,15804,115804000021,178356,C
ESC EL CARDONAL,15804,115804000021,178359,C
