nombre,muni_id,cod_dane,id_sede,jornada
,52079,252079001022,182688,
,52254,252260000321,182760,
,52838,252838000630,183135,
ESC NUEVA LA BELLEZA,50370,250330000623,183348,M
INSTITUCION EDUCATIVA LA JU,50370,250330000623,183351,M
ESC NUEVA  LA SIRIA,50370,250330000623,183354,M
ESC NUEVA LAS ROSAS,50370,250330000623,183357,M
ESC NUEVA LA PALESTINA,50370,250330000623,183363,M
ESC NUEVA BUENOS AIRES,50370,250330000623,183366,M
ESC NUEVA LA PRIMAVERA,50370,250330000623,183372,M
ESC NUEVA MANSITAS,50370,250330000623,183375,M
ESC NUEVA MONTEALEGRE,50370,250330000623,183378,M
ESC NUEVA EL PLACER,50370,250330000623,183381,M
ESC NUEVA LA PISTA,50370,250330000623,183384,M
ESC NUEVA BAJA ESTRELLA,50370,250330000623,183387,M
I.E.M. MARCO FIDEL SUÁREZ -,52001,252001000470,183459,M
I.E.M. MARCO FIDEL SUÁREZ -,52001,252001000470,183462,T
ESC SAN JUAN BAUTISTA DE AN,52001,252001000470,183468,M
,52051,252051000373,183477,
MORINDÓ JARAMAGAL,23574,223574000032,183618,M
INSTITUCIÓN EDUCATIVA VICEN,23574,223574000032,183624,M
INST EDUC BARRIO OLAYA HERR,5001,305001022232,184413,M
INST EDUC BARRIO OLAYA HERR,5001,305001022232,184416,T
,5652,305652001331,184458,
ESCUELA RURAL LISBOA,68406,268406000161,184785,M
ESCUELA RURAL SAN LORENZO,68406,268406000161,184788,M
ESCUELA RURAL BUENAVISTA,68406,268406000161,184791,M
ESCUELA RURAL SAN GABRIEL,68406,268406000161,184794,M
ESCUELA RURAL SAN PACHO,68406,268406000161,184797,M
ESCUELA RURAL ANGELINOS,68406,268406000161,184800,M
ESCUELA RURAL SAN JOAQUIN,68406,268406000161,184803,M
ESCUELA RURAL CUZAMAN,68406,268406000161,184806,M
ESCUELA RURAL MIRABEL,68406,268406000161,184809,M
ESCUELA RURAL SAN NICOLAS A,68406,268406000161,184812,M
ESCUELA RURAL LA RENTA,68406,268406000161,184815,M
COLEGIO  PORTUGAL,68406,268406000161,184818,M
COLEGIO  PORTUGAL,68406,268406000161,184821,T
ESCUELA RURAL LA CUCHILLA,68406,268406000161,184824,M
ESCUELA RURAL SAN BENITO,68406,268406000161,184827,M
ESCUELA RURAL LA CABAÑA,68406,268406000161,184830,M
